Wall time,Step,Value
1645988187.666602,709396,6.454999675042927e-05
1645988220.1244092,711552,6.445000326493755e-05
1645988248.7912188,712178,6.440000288421288e-05
1645988263.2129953,713052,6.435000250348821e-05
1645988347.9536862,717451,6.415000098058954e-05
1645988423.5685284,721157,6.394999945769086e-05
1645988444.2674713,722556,6.38999990769662e-05
1645988468.2585905,724018,6.379999831551686e-05
1645988508.054816,725441,6.374999793479219e-05
1645988519.8209727,726166,6.369999755406752e-05
1645988540.802177,727607,6.364999717334285e-05
1645988569.7571013,728182,6.359999679261819e-05
1645988583.9315755,729100,6.354999641189352e-05
1645988650.1353068,732183,6.340000254567713e-05
1645988668.8732786,733498,6.335000216495246e-05
1645988776.9203124,739355,6.304999988060445e-05
1645988828.5880468,741502,6.294999911915511e-05
1645988840.3416228,742285,6.289999873843044e-05
1645988852.2802238,743062,6.284999835770577e-05
1645988887.8928328,744186,6.27999979769811e-05
1645988915.897589,746056,6.269999721553177e-05
1645988989.313866,749722,6.255000334931538e-05
1645989000.9122946,750435,6.25000029685907e-05
1645989064.628327,753380,6.23500018264167e-05
1645989076.2905045,754108,6.230000144569203e-05
1645989097.078065,755571,6.225000106496736e-05
1645989139.6689878,757021,6.215000030351803e-05
1645989172.1105826,759209,6.204999954206869e-05
1645989235.7307365,762238,6.189999839989468e-05
1645989256.827427,763726,6.184999801917002e-05
1645989299.637075,765181,6.174999725772068e-05
1645989344.3286908,768102,6.160000339150429e-05
1645989384.1042397,769527,6.155000301077962e-05
1645989395.8593237,770235,6.150000263005495e-05
1645989444.1492734,772193,6.140000186860561e-05
1645989459.3016827,773203,6.135000148788095e-05
1645989480.076734,774646,6.130000110715628e-05
1645989503.61992,776144,6.120000034570694e-05
1645989543.6394942,777643,6.114999996498227e-05
1645989555.297753,778356,6.10999995842576e-05
1645989651.2589269,783416,6.085000131861307e-05
1645989726.4503298,787099,6.064999979571439e-05
1645989761.8035147,788197,6.0599999414989725e-05
1645989789.7451377,790004,6.049999865354039e-05
1645989841.0949807,792198,6.040000153006986e-05
1645989873.836719,794277,6.030000076862052e-05
1645989885.582064,795057,6.025000038789585e-05
1645989921.5103052,796199,6.0200000007171184e-05
1645989937.294795,797255,6.0149999626446515e-05
1645989958.0697017,798663,6.009999924572185e-05
1645989969.8745172,799403,6.004999886499718e-05
1645990021.7587607,801624,5.995000174152665e-05
1645990045.3033805,803130,5.985000098007731e-05
1645990096.9032638,805298,5.9750000218627974e-05
1645990159.9764633,808202,5.959999907645397e-05
1645990192.9761758,810398,5.949999831500463e-05
1645990204.649229,811118,5.945000157225877e-05
1645990239.5244339,812203,5.94000011915341e-05
1645990300.585766,816181,5.919999966863543e-05
1645990352.5381947,818380,5.909999890718609e-05
1645990364.265276,819107,5.904999852646142e-05
1645990415.7962358,821275,5.895000140299089e-05
1645990461.5268068,824203,5.880000026081689e-05
1645990513.8203568,826395,5.869999949936755e-05
1645990525.980451,827102,5.864999911864288e-05
1645990562.0510564,828207,5.859999873791821e-05
1645990611.562908,831595,5.8450001233723015e-05
1645990675.1769643,834481,5.830000009154901e-05
1645990686.8085718,835214,5.824999971082434e-05
1645990738.4619832,837480,5.8149998949375004e-05
1645990770.942672,839640,5.8049998187925667e-05
1645990813.837572,841165,5.795000106445514e-05
1645990909.8839493,846233,5.7699999160831794e-05
1645990958.8676045,848212,5.759999839938246e-05
1645990973.1177175,849124,5.7550001656636596e-05
1645990993.9739861,850614,5.750000127591193e-05
1645991005.699975,851326,5.745000089518726e-05
1645991069.1464648,854284,5.729999975301325e-05
1645991176.9450226,860082,5.700000110664405e-05
1645991228.6026564,862262,5.690000034519471e-05
1645991240.3514118,863020,5.6849999964470044e-05
1645991277.487354,864216,5.6799999583745375e-05
1645991291.8522856,865106,5.674999920302071e-05
1645991312.7491903,866528,5.669999882229604e-05
1645991387.744674,870135,5.650000093737617e-05
1645991437.5428298,872218,5.6400000175926834e-05
1645991451.3700452,873143,5.6349999795202166e-05
1645991517.7689688,876219,5.619999865302816e-05
1645991535.9206223,877502,5.614999827230349e-05
1645991547.7693126,878265,5.610000152955763e-05
1645991568.6541595,879696,5.605000114883296e-05
1645991596.6429849,880220,5.6000000768108293e-05
1645991632.5460634,882665,5.5900000006658956e-05
1645991644.4540398,883372,5.584999962593429e-05
1645991656.214194,884144,5.579999924520962e-05
1645991696.2927704,885661,5.574999886448495e-05
1645991720.1407108,887094,5.565000174101442e-05
1645991793.6142976,890641,5.5500000598840415e-05
1645991818.3705745,892149,5.539999983739108e-05
1645991858.8511472,893629,5.534999945666641e-05
1645991883.2036378,895097,5.524999869521707e-05
1645991919.2454624,896224,5.5199998314492404e-05
1645991969.1519668,899438,5.5050000810297206e-05
1645991981.3113515,900180,5.500000042957254e-05
1645992033.850605,902380,5.48999996681232e-05
1645992045.925678,903092,5.484999928739853e-05
1645992194.7633796,910453,5.450000026030466e-05
1645992206.638578,911230,5.444999987957999e-05
1645992241.1128986,912228,5.439999949885532e-05
1645992258.247989,913387,5.4349999118130654e-05
1645992270.0480812,914095,5.4299998737405986e-05
1645992290.8094592,915503,5.424999835668132e-05
1645992321.1511052,916229,5.4200001613935456e-05
1645992354.3792667,918529,5.410000085248612e-05
1645992366.109664,919277,5.405000047176145e-05
1645992400.0403562,920230,5.400000009103678e-05
1645992450.438334,923663,5.3849998948862776e-05
1645992479.0448644,924231,5.379999856813811e-05
1645992493.0902977,925144,5.374999818741344e-05
1645992513.8764837,926589,5.370000144466758e-05
1645992537.4367087,928061,5.360000068321824e-05
1645992673.2441785,934639,5.329999839887023e-05
1645992685.0426598,935365,5.325000165612437e-05
1645992696.7003748,936070,5.32000012753997e-05
1645992748.2571256,938204,5.310000051395036e-05
1645992832.6195025,942572,5.289999899105169e-05
1645992895.8611429,945414,5.275000148685649e-05
1645992956.9935472,948237,5.2600000344682485e-05
1645993015.6771064,952143,5.239999882178381e-05
1645993078.5823948,955034,5.225000131758861e-05
1645993114.6756423,956239,5.2200000936863944e-05
1645993129.596839,957272,5.2150000556139275e-05
1645993161.541905,959485,5.204999979468994e-05
1645993173.0222154,960227,5.199999941396527e-05
1645993212.502044,961655,5.19499990332406e-05
1645993271.5325384,964241,5.18000015290454e-05
1645993287.2881963,965263,5.1750001148320735e-05
1645993320.1373808,967413,5.16500003868714e-05
1645993371.038241,969534,5.154999962542206e-05
1645993382.387239,970254,5.149999924469739e-05
1645993430.8017745,972243,5.1399998483248055e-05
