,wip_size,ave_utilization,cmax_rel_flow_time,flow_time_rel_d_ave,seed,t
86,10,0.4290524667188723,0.722239624119029,0.6109057089166542,3984,1277.0
87,10,0.5157382847038019,0.8030946065428823,0.6456743345100693,4467,1131.0
88,10,0.4836734693877551,0.7791836734693878,0.6269760977591622,487,1225.0
89,10,0.5133828996282528,0.8271375464684015,0.6278850631965592,8452,1076.0
90,10,0.4280228758169934,0.7330065359477125,0.594221139336063,2953,1224.0
91,10,0.4461538461538462,0.7518218623481782,0.6154300846019712,9391,1235.0
92,10,0.5193223443223444,0.8581501831501832,0.6090771281541761,9428,1092.0
93,10,0.525398313027179,0.8166822867853796,0.650471512156464,4973,1067.0
94,10,0.5103781882145998,0.8007036059806508,0.6507043233252581,4087,1137.0
95,10,0.4538226299694189,0.7379204892966361,0.6267518904075782,6893,1308.0
96,10,0.4982193064667292,0.8148078725398313,0.6168399883560023,8669,1067.0
97,10,0.3889130434782609,0.6966666666666667,0.5910719651434262,9787,1380.0
98,10,0.5211920529801324,0.8350047303689688,0.6319119620031632,3278,1057.0
99,10,0.5075660893345487,0.8127620783956244,0.634744267634288,1694,1097.0
100,12,0.4983920367534456,0.7364088820826953,0.5843323576962228,1270,1306.0
101,12,0.5664147774979009,0.7725300867618248,0.6254038187607966,6223,1191.0
102,12,0.4985250737463126,0.7318092428711898,0.5854335598813344,8470,1356.0
103,12,0.4478686233403214,0.6848940135103657,0.5683720907929365,9695,1431.0
104,12,0.4794814814814814,0.6854320987654321,0.60815974178712,1793,1350.0
105,12,0.4670383275261324,0.7246806039488967,0.5560366018383845,9349,1435.0
106,12,0.5240887480190174,0.7486133122028527,0.5973333653266757,3984,1262.0
107,12,0.5793924466338259,0.7868773946360152,0.6280316444787992,4467,1218.0
108,12,0.5641660015961691,0.7850492152168129,0.6093291119169247,487,1253.0
109,12,0.5205905205905206,0.7696192696192696,0.5756973349498276,8452,1287.0
110,12,0.4707668944570994,0.7100101240192357,0.5673146699013537,2953,1317.0
111,12,0.5341700404858299,0.7600539811066127,0.6042052591568879,9391,1235.0
112,12,0.574190800681431,0.8105479840999432,0.5961207678995001,9428,1174.0
113,12,0.530197628458498,0.7433465085638999,0.6046767217763661,4973,1265.0
114,12,0.5884417808219178,0.8133561643835616,0.6150589851948594,4087,1168.0
115,12,0.5383233532934132,0.7704590818363273,0.587965041550988,6893,1336.0
116,12,0.53275,0.7453472222222222,0.6134433702890109,8669,1200.0
117,12,0.4665943600867678,0.7255965292841648,0.5589314696399743,9787,1383.0
118,12,0.6171213546566322,0.8421919096895578,0.615006039214491,3278,1063.0
119,12,0.6042533936651584,0.831447963800905,0.6205678489631131,1694,1105.0
120,14,0.5906178489702517,0.7663179688351313,0.5599912889509975,1270,1311.0
121,14,0.5931454683929931,0.7516048308127516,0.5802704665617526,6223,1313.0
122,14,0.5676107480029049,0.7195767195767196,0.5826504332860616,8470,1377.0
123,14,0.5526391901663051,0.7400061977068485,0.5504755533254287,9695,1383.0
124,14,0.5483965014577259,0.715118700541441,0.5662486041397864,1793,1372.0
125,14,0.4983606557377049,0.6854170419744191,0.5505297411259303,9349,1586.0
126,14,0.5698016164584864,0.7512333368321612,0.5542109299633186,3984,1361.0
127,14,0.6378420641125879,0.7758851781525746,0.5960269005548856,4467,1279.0
128,14,0.6848903330625508,0.828536613670651,0.5941235379751207,487,1231.0
129,14,0.5988390092879258,0.7353494029190624,0.5969014528043407,8452,1292.0
130,14,0.5267908309455587,0.7042570609905853,0.5532374709194957,2953,1396.0
131,14,0.5233739837398373,0.6840398761130468,0.5653799696964593,9391,1476.0
132,14,0.6039260969976905,0.7374353898603322,0.594261128245015,9428,1299.0
133,14,0.6032659409020218,0.7522217285047768,0.5861303410185509,4973,1286.0
134,14,0.6400787401574803,0.7724409448818897,0.603095055601737,4087,1270.0
135,14,0.5895324494068388,0.7751470441630943,0.5509513302726369,6893,1433.0
136,14,0.5926482213438735,0.7592885375494071,0.5712496456212907,8669,1265.0
137,14,0.5157288135593221,0.7208232445520582,0.526382761345393,9787,1475.0
138,14,0.5489239598278336,0.6881533101045296,0.5839738459281186,3278,1394.0
139,14,0.6344632768361582,0.802605788077943,0.5710330224829859,1694,1239.0
140,16,0.699601593625498,0.8090139442231076,0.5437200566440819,1270,1255.0
141,16,0.6568165070007369,0.7782332350773765,0.5396957155437181,6223,1357.0
142,16,0.5784695201037614,0.6889996757457847,0.5389995414486246,8470,1542.0
143,16,0.5971272229822161,0.7151162790697675,0.5386554849415528,9695,1462.0
144,16,0.6111587982832618,0.7155311158798283,0.553091171110479,1793,1398.0
145,16,0.5480911330049261,0.7030095443349754,0.5167457486209226,9349,1624.0
146,16,0.6135430916552668,0.7060106019151847,0.5630557051853256,3984,1462.0
147,16,0.662962962962963,0.7532496438746439,0.561157029334867,4467,1404.0
148,16,0.6753867791842475,0.7714047116736991,0.5553373399324067,487,1422.0
149,16,0.6737005430566331,0.7680857253685027,0.5551166026746241,8452,1289.0
150,16,0.5646938775510204,0.6968537414965986,0.5222945859124897,2953,1470.0
151,16,0.6119664100769769,0.7343421973407978,0.5363806849494593,9391,1429.0
152,16,0.7234262948207171,0.8259960159362549,0.5546316912959757,9428,1255.0
153,16,0.6746360153256705,0.7625478927203065,0.5655800975513129,4973,1305.0
154,16,0.7230590062111801,0.8151203416149069,0.5589338280176779,4087,1288.0
155,16,0.6124191461836999,0.7096539456662354,0.5557649564541145,6893,1546.0
156,16,0.644939577039275,0.7611876888217523,0.5415425641170799,8669,1324.0
157,16,0.5448557089084065,0.6558971141781681,0.5463504851472137,9787,1594.0
158,16,0.6333574529667149,0.7167601302460203,0.5667138088426967,3278,1382.0
159,16,0.7057542768273717,0.7994751166407466,0.5591874754040721,1694,1286.0
160,18,0.6779211956521739,0.722373188405797,0.5349413769755056,1270,1472.0
161,18,0.6745454545454546,0.7216236438458661,0.535304650504183,6223,1485.0
162,18,0.6184816428126945,0.6812556177833091,0.521341547768636,8470,1607.0
163,18,0.6573509933774835,0.7283664459161148,0.5125125973550833,9695,1510.0
164,18,0.6458917835671343,0.7031099235508054,0.5294945291001405,1793,1497.0
165,18,0.573367404883589,0.6753738406208594,0.5016860897623379,9349,1761.0
166,18,0.6305,0.7136458333333333,0.508257556814987,3984,1600.0
167,18,0.7153475567790778,0.7590425938670949,0.5373695175477764,4467,1453.0
168,18,0.699869451697128,0.7432187409341456,0.5328176538705672,487,1532.0
169,18,0.7221729490022173,0.7721524184938818,0.5252799227729361,8452,1353.0
170,18,0.5928205128205128,0.6688746438746438,0.5147441105798899,2953,1560.0
171,18,0.6789545145960625,0.748019914007694,0.5184788539995183,9391,1473.0
172,18,0.7408029197080291,0.8011354420113544,0.5237661406777656,9428,1370.0
