,wip_size,ave_utilization,cmax_rel_flow_time,flow_time_rel_d_ave,seed,t
107,12,0.4742607526881721,0.6994847670250895,0.6020330012594893,4467,1488.0
108,12,0.5009922041105599,0.7309236947791165,0.5905928646611972,487,1411.0
109,12,0.5056603773584906,0.7516352201257861,0.5912987493531424,8452,1325.0
110,12,0.5267629566694987,0.766709147550269,0.6013605868136683,2953,1177.0
111,12,0.4722261989978525,0.7046647578143641,0.5841758294232043,9391,1397.0
112,12,0.4791044776119403,0.6887585880123194,0.6235340246377773,9428,1407.0
113,12,0.4818247126436782,0.718330938697318,0.5713420015161373,4973,1392.0
114,12,0.5061119293078056,0.7189494354442808,0.6054711457953988,4087,1358.0
115,12,0.493956043956044,0.7109661172161172,0.6132966336964455,6893,1456.0
116,12,0.5231587561374795,0.773595199127114,0.5838709820856262,8669,1222.0
117,12,0.5436394271272115,0.7742207245155855,0.6133989927820016,9787,1187.0
118,12,0.4370419720186542,0.6880413057961359,0.5524617312668328,3278,1501.0
119,12,0.5155984555984556,0.7904761904761904,0.5704554902800154,1694,1295.0
120,14,0.5365904365904366,0.8118008118008118,0.489355263791537,1270,1443.0
121,14,0.508355091383812,0.7122808653487505,0.5342637357808172,6223,1532.0
122,14,0.5313392250169953,0.75148101388754,0.5217195126749774,8470,1471.0
123,14,0.5661481481481481,0.772010582010582,0.5433990451086762,9695,1350.0
124,14,0.5132332878581173,0.7049308127070746,0.547882052461582,1793,1466.0
125,14,0.4825396825396825,0.6533664747950463,0.5529590094505441,9349,1638.0
126,14,0.5180360721442886,0.7313674968985591,0.5364900312765831,3984,1497.0
127,14,0.5130817610062893,0.6942946990116801,0.5557809176145195,4467,1590.0
128,14,0.5106602059357965,0.7016094142078394,0.5473909289743986,487,1651.0
129,14,0.5406708595387841,0.782669461914745,0.5209077794137743,8452,1431.0
130,14,0.5541823662396382,0.7597157928732909,0.5429343494379899,2953,1327.0
131,14,0.4951923076923077,0.7008241758241758,0.5384961422044611,9391,1560.0
132,14,0.5436590436590436,0.7584892584892585,0.5358803807884378,9428,1443.0
133,14,0.4989067524115755,0.6698667891593937,0.5628178760707521,4973,1555.0
134,14,0.505849408836341,0.6746377455773847,0.5637956667527311,4087,1607.0
135,14,0.5040572792362769,0.6934026593931129,0.5571199870043759,6893,1676.0
136,14,0.5079268292682927,0.6875241966705382,0.5528391176764644,8669,1476.0
137,14,0.5500361532899494,0.7352546224563579,0.5620487173127394,9787,1383.0
